X [],R.RA: EMG 1 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.ES: EMG 2 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.IL: EMG 3 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.GMax: EMG 4 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.RF: EMG 5 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.BF: EMG 6 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.TA&IO: EMG 7 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.MF: EMG 8 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS []
0,3.59546E-06,1.05346E-05,6.95125E-06,2.37052E-06,1.61088E-06,6.04386E-06,1.51408E-05,6.8993E-05
0.001,4.4122E-06,1.06317E-05,7.02422E-06,2.38249E-06,1.64408E-06,6.26011E-06,1.91768E-05,6.90902E-05
0.002,4.79616E-06,1.07134E-05,7.07469E-06,2.38466E-06,1.79116E-06,6.65375E-06,2.857E-05,6.91777E-05
0.003,4.95216E-06,1.08545E-05,7.10505E-06,2.39297E-06,1.97711E-06,6.96812E-06,3.77428E-05,7.09908E-05
0.004,4.9682E-06,1.08729E-05,7.1793E-06,2.40237E-06,2.05054E-06,7.20395E-06,3.96058E-05,7.30024E-05
0.005,4.98699E-06,1.09553E-05,7.65614E-06,2.41594E-06,2.40315E-06,7.53056E-06,3.96143E-05,7.31454E-05
0.006,5.08164E-06,1.0972E-05,8.19683E-06,2.41671E-06,3.0306E-06,7.74777E-06,3.96592E-05,7.37327E-05
0.007,5.14997E-06,1.09964E-05,8.31163E-06,2.42413E-06,3.42646E-06,7.77359E-06,4.02213E-05,7.4079E-05
0.008,5.17821E-06,1.10832E-05,8.31733E-06,2.44486E-06,3.53568E-06,7.78663E-06,4.07709E-05,7.57543E-05
0.009,5.19479E-06,1.1164E-05,8.3273E-06,2.44744E-06,3.60929E-06,7.80089E-06,4.1499E-05,7.6175E-05
0.01,5.22019E-06,1.11813E-05,8.35624E-06,2.46326E-06,3.61735E-06,7.81112E-06,4.29689E-05,7.61769E-05
0.011,5.26687E-06,1.11546E-05,8.32574E-06,2.44972E-06,3.62475E-06,7.67626E-06,4.45075E-05,7.61199E-05
0.012,5.26032E-06,1.01807E-05,7.56754E-06,2.24043E-06,3.62354E-06,6.26783E-06,4.55516E-05,7.30323E-05
0.013,5.17292E-06,9.31047E-06,7.19488E-06,2.15889E-06,3.67114E-06,5.87624E-06,4.57786E-05,6.91229E-05
0.014,5.03769E-06,9.27701E-06,6.76764E-06,2.01797E-06,3.69479E-06,5.63949E-06,4.57671E-05,6.70176E-05
0.015,4.93668E-06,9.31823E-06,6.39486E-06,2.00798E-06,3.72271E-06,5.63483E-06,4.58529E-05,6.53339E-05
0.016,4.91443E-06,8.96872E-06,6.18464E-06,1.83548E-06,3.66674E-06,5.64801E-06,4.62033E-05,5.95116E-05
0.017,4.91107E-06,8.12652E-06,5.89964E-06,1.48208E-06,3.69642E-06,5.64742E-06,4.63577E-05,4.74441E-05
0.018,4.84257E-06,6.80645E-06,6.29972E-06,1.17711E-06,3.68373E-06,5.37424E-06,4.57402E-05,4.12044E-05
0.019,4.68513E-06,5.62117E-06,6.4985E-06,8.11111E-07,3.76184E-06,5.19384E-06,4.52715E-05,4.11791E-05
0.02,4.22823E-06,4.96475E-06,6.21833E-06,7.81252E-07,4.01E-06,5.13637E-06,4.51626E-05,4.11877E-05
0.021,3.50269E-06,5.59916E-06,6.24729E-06,7.64141E-07,4.07825E-06,5.03354E-06,4.3622E-05,4.10605E-05
0.022,3.08119E-06,5.676E-06,6.4055E-06,9.04321E-07,4.15938E-06,4.61144E-06,3.82869E-05,4.34144E-05
0.023,2.8795E-06,5.45156E-06,6.68854E-06,9.2752E-07,4.14847E-06,4.21062E-06,2.93311E-05,4.26336E-05
0.024,2.89427E-06,5.50312E-06,6.66289E-06,9.14844E-07,4.15947E-06,4.06937E-06,2.69736E-05,3.9176E-05
0.025,2.94219E-06,5.35142E-06,6.66604E-06,8.87361E-07,3.99785E-06,3.71814E-06,2.74101E-05,3.89428E-05
0.026,2.88558E-06,5.37085E-06,7.1661E-06,8.87323E-07,3.54704E-06,3.33738E-06,2.89858E-05,3.79856E-05
0.027,3.10325E-06,5.37556E-06,7.2942E-06,8.74479E-07,3.17451E-06,3.35345E-06,3.17579E-05,3.90216E-05
0.028,3.55784E-06,5.19547E-06,7.50468E-06,8.16926E-07,3.08142E-06,3.46384E-06,3.31283E-05,3.67525E-05
0.029,4.07515E-06,5.01971E-06,9.32655E-06,8.10756E-07,3.00922E-06,3.4672E-06,3.2321E-05,3.5949E-05
0.03,4.57166E-06,5.06528E-06,9.82366E-06,7.62449E-07,3.03324E-06,3.44656E-06,3.05682E-05,4.11941E-05
0.031,4.69212E-06,5.296E-06,9.86363E-06,7.27751E-07,3.02603E-06,3.44693E-06,2.99511E-05,4.55913E-05
0.032,4.63801E-06,5.35122E-06,9.9E-06,7.36492E-07,3.01652E-06,3.4757E-06,3.36013E-05,4.65089E-05
0.033,4.64177E-06,5.2218E-06,9.92105E-06,7.32005E-07,2.94093E-06,3.72192E-06,3.53467E-05,4.70056E-05
0.034,4.62582E-06,5.12068E-06,9.95605E-06,7.44644E-07,2.86993E-06,3.92526E-06,3.54249E-05,4.70207E-05
0.035,4.73224E-06,5.19882E-06,9.92636E-06,7.3939E-07,2.87825E-06,3.93392E-06,3.55494E-05,4.82697E-05
0.036,5.37739E-06,5.26525E-06,9.87937E-06,7.52825E-07,3.1686E-06,3.91673E-06,3.50794E-05,5.05907E-05
0.037,5.88692E-06,5.34071E-06,9.88478E-06,9.21858E-07,3.39546E-06,3.91154E-06,3.43907E-05,4.95775E-05
0.038,6.02527E-06,5.54399E-06,9.6702E-06,9.82396E-07,3.61235E-06,3.90183E-06,3.36094E-05,5.04046E-05
0.039,6.03116E-06,5.68773E-06,1.00186E-05,1.01422E-06,3.55893E-06,3.86804E-06,3.38352E-05,5.32888E-05
0.04,5.99844E-06,5.65708E-06,1.10986E-05,1.02202E-06,3.27169E-06,3.80967E-06,3.46586E-05,5.44028E-05
0.041,6.3998E-06,4.86044E-06,1.13875E-05,1.03837E-06,3.20541E-06,3.6003E-06,3.50813E-05,5.50158E-05
0.042,7.26168E-06,4.99348E-06,1.12953E-05,1.28116E-06,3.02518E-06,3.47226E-06,3.50603E-05,5.47414E-05
0.043,8.10774E-06,5.7439E-06,1.14082E-05,1.32349E-06,2.93179E-06,3.43328E-06,3.50657E-05,5.45775E-05
0.044,8.70006E-06,6.01402E-06,1.15446E-05,1.33689E-06,2.88146E-06,3.21754E-06,3.49315E-05,5.46391E-05
0.045,9.00992E-06,6.28426E-06,1.23601E-05,1.34951E-06,2.84216E-06,2.96327E-06,3.47182E-05,5.50521E-05
0.046,9.149E-06,6.28738E-06,1.66271E-05,1.34956E-06,2.85353E-06,2.96815E-06,3.62164E-05,7.09958E-05
0.047,9.39057E-06,6.27774E-06,1.8278E-05,1.38272E-06,2.84739E-06,3.07975E-06,3.67852E-05,8.00076E-05
0.048,9.73102E-06,6.39913E-06,1.8223E-05,1.39511E-06,2.84633E-06,3.01568E-06,3.54364E-05,7.95415E-05
0.049,1.01286E-05,6.92627E-06,1.75714E-05,1.41993E-06,2.85467E-06,3.13287E-06,3.54082E-05,7.95432E-05
0.05,1.02851E-05,7.04589E-06,1.7939E-05,1.57549E-06,2.85103E-06,3.19946E-06,3.52923E-05,7.78213E-05
0.051,1.02698E-05,6.85364E-06,1.85204E-05,1.82834E-06,2.92927E-06,3.2112E-06,3.39207E-05,7.53711E-05
0.052,1.02666E-05,6.94665E-06,1.88576E-05,2.07703E-06,3.03645E-06,3.19737E-06,2.90824E-05,7.48143E-05
0.053,1.02364E-05,7.26954E-06,1.92617E-05,2.2345E-06,3.05878E-06,3.01723E-06,2.68576E-05,7.56077E-05
0.054,1.02826E-05,7.2136E-06,1.93706E-05,2.26285E-06,3.0999E-06,2.76115E-06,2.67673E-05,7.60421E-05
0.055,1.03483E-05,7.45599E-06,1.9371E-05,2.27449E-06,3.06867E-06,2.7524E-06,2.64045E-05,7.53511E-05
0.056,1.01845E-05,7.55365E-06,1.93951E-05,2.26836E-06,2.81291E-06,2.77309E-06,2.62929E-05,7.32564E-05
0.057,9.99854E-06,7.48085E-06,1.94502E-05,2.28279E-06,2.56834E-06,2.70757E-06,2.63285E-05,7.77957E-05
0.058,9.92524E-06,7.29754E-06,1.94658E-05,2.44709E-06,2.23313E-06,2.76841E-06,2.62361E-05,8.17116E-05
0.059,1.00956E-05,7.1939E-06,1.93275E-05,2.45249E-06,2.15052E-06,2.78651E-06,2.59276E-05,8.6516E-05
0.06,1.0792E-05,7.1115E-06,1.87458E-05,2.48061E-06,2.20776E-06,2.79994E-06,2.50031E-05,9.70445E-05
0.061,1.18258E-05,7.12947E-06,1.85446E-05,2.4734E-06,2.19109E-06,2.81091E-06,2.46079E-05,0.000102042
0.062,1.33612E-05,6.93843E-06,1.85683E-05,2.37991E-06,2.28546E-06,2.80022E-06,2.45568E-05,0.000102721
0.063,1.53646E-05,6.30196E-06,1.84821E-05,2.39301E-06,2.48801E-06,2.72055E-06,2.45452E-05,0.000102346
0.064,1.74982E-05,5.97586E-06,1.8388E-05,2.42487E-06,2.50692E-06,2.58279E-06,2.45403E-05,0.000102335
0.065,1.91865E-05,5.70882E-06,1.76602E-05,2.44795E-06,2.54812E-06,2.51953E-06,2.43619E-05,0.00010219
0.066,2.04377E-05,5.65988E-06,1.33967E-05,2.44942E-06,2.54407E-06,2.41507E-06,1.98716E-05,9.28097E-05
0.067,2.12638E-05,5.6306E-06,1.11445E-05,2.43066E-06,2.54951E-06,2.23404E-06,1.18384E-05,8.65443E-05
0.068,2.17241E-05,5.49632E-06,1.11159E-05,2.49695E-06,2.51658E-06,2.192E-06,1.02284E-05,8.89481E-05
0.069,2.18942E-05,4.81993E-06,1.09107E-05,2.60741E-06,2.49108E-06,2.08063E-06,1.02056E-05,9.21891E-05
0.07,2.19866E-05,4.58751E-06,1.02108E-05,2.59975E-06,2.45587E-06,1.98127E-06,1.06473E-05,9.34246E-05
0.071,2.20919E-05,4.6035E-06,9.38782E-06,2.61933E-06,2.37022E-06,1.99203E-06,1.12102E-05,9.38532E-05
0.072,2.21273E-05,4.38946E-06,8.71071E-06,2.45594E-06,2.26106E-06,1.9719E-06,1.03251E-05,9.42323E-05
0.073,2.21243E-05,3.86197E-06,7.75065E-06,2.36293E-06,2.22691E-06,1.84928E-06,9.49188E-06,9.40988E-05
0.074,2.20984E-05,3.77603E-06,7.42563E-06,2.45248E-06,2.16403E-06,1.8339E-06,9.4967E-06,9.42881E-05
0.075,2.21021E-05,2.84057E-06,7.42823E-06,2.76437E-06,2.20109E-06,1.76389E-06,9.4671E-06,9.42048E-05
0.076,2.21424E-05,2.35815E-06,7.38271E-06,2.84427E-06,2.12366E-06,1.74006E-06,9.80851E-06,9.33938E-05
0.077,2.22995E-05,2.30633E-06,7.23017E-06,2.78576E-06,1.92936E-06,1.82278E-06,1.06336E-05,8.86288E-05
0.078,2.26002E-05,2.33551E-06,7.0663E-06,2.62423E-06,1.85182E-06,1.73763E-06,1.08043E-05,8.61346E-05
0.079,2.30467E-05,2.31489E-06,6.35687E-06,2.84669E-06,2.01556E-06,1.72903E-06,1.08819E-05,8.43462E-05
0.08,2.33321E-05,2.29136E-06,6.7149E-06,2.98281E-06,2.08577E-06,1.71905E-06,1.26147E-05,8.54938E-05
0.081,2.31646E-05,2.25825E-06,6.91335E-06,2.98203E-06,2.16644E-06,1.79388E-06,1.29511E-05,9.58975E-05
0.082,2.25103E-05,2.03892E-06,6.82253E-06,3.01212E-06,2.18024E-06,1.88969E-06,1.30214E-05,0.000102391
