X [],R ILIOPSOAS: EMG 1->Filter->MAV->RMS [],L ILIOPSOAS: EMG 2->Filter->MAV->RMS [],R GLUTEUS MAXIMUS: EMG 4 (IM)->Filter->MAV->RMS [],L GLUTEUS MAXIMUS: EMG 5->Filter->MAV->RMS [],R RECTUS ABDOMINIS: EMG 6->Filter->MAV->RMS [],L RECTUS ABDOMINIS: EMG 7->Filter->MAV->RMS [],R ERECTOR SPINAE: EMG 8->Filter->MAV->RMS [],L ERECTOR SPINAE: EMG 9->Filter->MAV->RMS [],R RECTUS FEMORIS: EMG 10->Filter->MAV->RMS [],L RECTUS FEMORIS: EMG 11->Filter->MAV->RMS [],R BICEPS FEMORIS: EMG 12->Filter->MAV->RMS [],L BICEPS FEMORIS: EMG 13->Filter->MAV->RMS []
0,0.000106518,2.86634E-05,5.02621E-06,0.00010007,2.35361E-05,8.04402E-06,5.80166E-05,3.87211E-06,0.000165247,3.43047E-06,1.01687E-05,7.88531E-05
0.01,0.000152306,3.92197E-05,6.89241E-06,0.000141411,3.36402E-05,1.08656E-05,7.94129E-05,5.89114E-06,0.000215252,5.15069E-06,1.5022E-05,0.000108873
0.02,0.000158693,3.70956E-05,6.48571E-06,0.000141094,3.36081E-05,1.07769E-05,7.34609E-05,6.45487E-06,0.000205995,6.14302E-06,1.49942E-05,0.00011225
0.03,0.000155687,3.84404E-05,6.54054E-06,0.000140446,3.30464E-05,1.09033E-05,7.50569E-05,6.16108E-06,0.00020878,6.41802E-06,1.41542E-05,0.000120155
0.04,0.000136233,4.03494E-05,6.34659E-06,0.000140663,3.27956E-05,1.06958E-05,7.88053E-05,5.92948E-06,0.000209057,6.32901E-06,1.23953E-05,0.000121173
0.05,0.000134379,4.06238E-05,5.91551E-06,0.000140908,3.28391E-05,1.07493E-05,7.86919E-05,6.30133E-06,0.000224812,5.99241E-06,1.20357E-05,0.00012301
0.06,0.000150569,4.15611E-05,6.14899E-06,0.000140748,3.33803E-05,1.07576E-05,7.9651E-05,6.11344E-06,0.000224181,5.61245E-06,1.39582E-05,0.000122591
0.07,0.000154035,4.09624E-05,6.54328E-06,0.000141561,3.36481E-05,1.09627E-05,7.92682E-05,5.66196E-06,0.000215244,6.84128E-06,1.35565E-05,0.000113372
0.08,0.000154036,3.82729E-05,6.62597E-06,0.000142176,3.3305E-05,1.13768E-05,7.70212E-05,6.13003E-06,0.000205441,7.93079E-06,1.12512E-05,0.000112253
0.09,0.000153322,3.91455E-05,6.12034E-06,0.000141996,3.2749E-05,1.11666E-05,7.39764E-05,6.65837E-06,0.000205598,7.4824E-06,1.25472E-05,0.000120103
0.1,0.000153983,4.0867E-05,5.26824E-06,0.000141533,3.24891E-05,1.03349E-05,7.5282E-05,6.62228E-06,0.000221526,6.71643E-06,1.41128E-05,0.000119543
0.11,0.000153209,4.06608E-05,4.64463E-06,0.000141504,3.2378E-05,1.05412E-05,7.46449E-05,6.72869E-06,0.000232702,7.39554E-06,1.46112E-05,0.000115848
0.12,0.000150344,4.07725E-05,5.43828E-06,0.000141023,3.25164E-05,1.13015E-05,7.40475E-05,6.72818E-06,0.000227801,8.24243E-06,1.50584E-05,0.000112311
0.13,0.000161917,4.01231E-05,6.25845E-06,0.000140509,3.32256E-05,1.16891E-05,7.6725E-05,6.29482E-06,0.000212962,7.88313E-06,1.40295E-05,0.000109775
0.14,0.000165714,4.02353E-05,6.13895E-06,0.000140383,3.37391E-05,1.15451E-05,7.8272E-05,5.97884E-06,0.000203875,7.50599E-06,1.19838E-05,0.000115492
0.15,0.000160904,3.99729E-05,6.41051E-06,0.000140345,3.3155E-05,1.07382E-05,7.8998E-05,6.16099E-06,0.00021488,7.14759E-06,1.22834E-05,0.000118281
0.16,0.000155738,3.81466E-05,7.02254E-06,0.000141063,3.2445E-05,1.05628E-05,7.87562E-05,6.07899E-06,0.000237304,7.20617E-06,1.36643E-05,0.000119229
0.17,0.000155121,3.90993E-05,7.3673E-06,0.000140866,3.30115E-05,1.09823E-05,7.70174E-05,6.2846E-06,0.000234144,7.56263E-06,1.3522E-05,0.000119818
0.18,0.000151814,3.97813E-05,7.2787E-06,0.000140848,3.36144E-05,1.15216E-05,7.49612E-05,6.36981E-06,0.000211456,7.36638E-06,1.37193E-05,0.000120377
0.19,0.000137743,3.78954E-05,6.80101E-06,0.000141336,3.36951E-05,1.1408E-05,7.44864E-05,6.1646E-06,0.000206226,6.8483E-06,1.20167E-05,0.000119901
0.2,0.000130202,3.63889E-05,6.31513E-06,0.000140943,3.33481E-05,1.11673E-05,7.14959E-05,5.95668E-06,0.000202642,6.41308E-06,1.23366E-05,0.000117772
0.21,0.000141995,3.52603E-05,6.378E-06,0.000140831,3.3452E-05,1.12098E-05,7.50368E-05,5.93174E-06,0.000206054,7.15295E-06,1.23421E-05,0.000117643
0.22,0.000156775,3.6759E-05,6.82869E-06,0.000140914,3.40521E-05,1.05463E-05,8.04369E-05,6.12081E-06,0.000219046,7.51903E-06,1.31104E-05,0.000113269
0.23,0.000159374,3.80344E-05,7.05812E-06,0.000141554,3.32098E-05,1.07033E-05,7.67522E-05,6.10185E-06,0.000220609,7.66431E-06,1.52495E-05,0.000111509
0.24,0.000157299,3.84054E-05,7.22033E-06,0.000141507,3.21098E-05,1.11577E-05,7.12118E-05,6.50386E-06,0.00021284,8.02367E-06,1.4137E-05,0.000109061
