[Data],,,,
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
Index,Series,,,Series
1,6.88773,16.170935,-1.359534,-6.817123
2,6.872493,16.159508,-1.350424,-6.798424
3,6.862485,16.150803,-1.340932,-6.78009
4,6.859639,16.145706,-1.329549,-6.762558
5,6.861864,16.143206,-1.315849,-6.747383
6,6.865851,16.14258,-1.302623,-6.737175
7,6.868637,16.143143,-1.293022,-6.733635
8,6.868282,16.143612,-1.287516,-6.735535
9,6.86245,16.141466,-1.284203,-6.737381
10,6.849385,16.13471,-1.280798,-6.73278
11,6.82996,16.123339,-1.275937,-6.720642
12,6.808481,16.109694,-1.269335,-6.706421
13,6.789709,16.096626,-1.260927,-6.695999
14,6.77487,16.085449,-1.251487,-6.69175
15,6.762708,16.076622,-1.243282,-6.693375
16,6.752671,16.07033,-1.237492,-6.698334
17,6.743869,16.065285,-1.233088,-6.702492
18,6.736186,16.061338,-1.228952,-6.702538
19,6.728839,16.057995,-1.224763,-6.697899
20,6.721837,16.055082,-1.22061,-6.691383
21,6.714772,16.051117,-1.216276,-6.687302
22,6.708081,16.043993,-1.21057,-6.687965
23,6.703126,16.031128,-1.201574,-6.692413
24,6.702676,16.010923,-1.187639,-6.698074
25,6.710762,15.984058,-1.167441,-6.701981
26,6.729358,15.95313,-1.140694,-6.700844
27,6.757751,15.922709,-1.108805,-6.693611
28,6.791795,15.892358,-1.071765,-6.684135
29,6.825839,15.856915,-1.028836,-6.67894
30,6.854255,15.819936,-0.987182,-6.680473
31,6.870957,15.795975,-0.962321,-6.684242
32,6.873481,15.798757,-0.965543,-6.683899
33,6.863919,15.828914,-0.99534,-6.677963
34,6.848078,15.873705,-1.038408,-6.670258
35,6.831331,15.917206,-1.07972,-6.665771
36,6.815824,15.95347,-1.113527,-6.666397
37,6.801424,15.983547,-1.14146,-6.670609
38,6.789427,16.004843,-1.162192,-6.675865
39,6.782118,16.012312,-1.171944,-6.68206
40,6.780792,16.00643,-1.170264,-6.690048
41,6.783454,15.994233,-1.162465,-6.698608
42,6.786163,15.986678,-1.157769,-6.70546
43,6.786369,15.989113,-1.161316,-6.710068
44,6.785442,15.995718,-1.168444,-6.713409
45,6.786147,15.998027,-1.172045,-6.715965
46,6.788497,15.996529,-1.172843,-6.716942
47,6.788888,16.000196,-1.179531,-6.715698
48,6.783651,16.014389,-1.19775,-6.712387
49,6.773689,16.034431,-1.222856,-6.70787
50,6.762484,16.051632,-1.245095,-6.703011
51,6.75362,16.062113,-1.258233,-6.698837
52,6.748821,16.066469,-1.261661,-6.695786
53,6.748475,16.067568,-1.258632,-6.693314
