X [],R.RA: EMG 1 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.ES: EMG 2 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.IL: EMG 3 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.GMax: EMG 4 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.RF: EMG 5 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.BF: EMG 6 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.TA&IO: EMG 7 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS [],R.MF: EMG 8 (from SF8_Back_Tuck_Somersault_Rep_6.10) ->Filter->RMS []
0,0.039983746,0.015020968,0.126710098,0.019076155,0.023163622,0.022878229,0.232636321,0.017446383
0.01,0.041771638,0.015097217,0.128990228,0.019325843,0.023552274,0.023247233,0.238015195,0.01766863
0.02,0.042665583,0.015173466,0.13257329,0.019775281,0.024096386,0.023523985,0.242049351,0.018113124
0.03,0.043071922,0.015173466,0.136807818,0.02102372,0.024174116,0.023616236,0.24339407,0.018779864
0.04,0.043234458,0.015249714,0.14039088,0.021373283,0.024251846,0.023708487,0.244738788,0.019002111
0.05,0.043315725,0.015249714,0.14267101,0.021622971,0.024329576,0.023800738,0.248772944,0.019446605
0.06,0.043640796,0.015249714,0.14723127,0.021822722,0.024485037,0.02398524,0.255496537,0.019557729
0.07,0.044128403,0.015325963,0.149511401,0.02207241,0.024640498,0.024077491,0.263564849,0.020224469
0.08,0.044697278,0.015402211,0.153420195,0.022322097,0.024795958,0.024077491,0.270288442,0.022113568
0.09,0.044859813,0.016622188,0.156026059,0.023071161,0.024873688,0.024169742,0.274322598,0.02633626
0.1,0.045266152,0.017003431,0.159609121,0.024619226,0.024951419,0.024354244,0.279701473,0.026891877
0.11,0.045428688,0.01707968,0.161237785,0.025068664,0.025029149,0.024723247,0.283735628,0.027336371
0.12,0.045591223,0.017155928,0.164820847,0.02536829,0.025106879,0.025,0.287769784,0.027780865
0.13,0.046485169,0.017232177,0.168078176,0.025468165,0.025184609,0.025276753,0.290459221,0.029003223
0.14,0.04681024,0.017308426,0.170032573,0.02576779,0.02526234,0.046402214,0.303906408,0.029781087
0.15,0.046891508,0.01814716,0.170684039,0.026017478,0.02534007,0.060055351,0.310630001,0.031114568
0.16,0.046972775,0.018528403,0.171335505,0.026117353,0.025495531,0.066051661,0.310630001,0.031447939
0.17,0.047135311,0.018833397,0.171661238,0.026167291,0.025573261,0.066697417,0.311974719,0.031559062
0.18,0.047297846,0.018985894,0.171986971,0.026217229,0.025728721,0.066789668,0.313319438,0.031670186
0.19,0.047460382,0.019062143,0.172312704,0.026516854,0.025884182,0.067158672,0.314664157,0.032336926
