[Data],,,
,Trunk Angle,Hip Angle,Knee Angle
,Trunk Flexion / Extension Joint Angle (deg),Hip Flexion / Extension Joint Angle (deg),Knee Flexion / Extension Joint Angle (deg)
Index,Series,Series,Series
1,-10.040299,-4.25116,3.056281
2,-10.036259,-4.27678,3.095674
3,-9.987208,-4.447137,3.01922
4,-10.016632,-4.528028,2.968635
5,-10.05568,-4.530477,2.999913
6,-10.059773,-4.602446,2.948744
7,-10.059999,-4.627601,2.965251
8,-10.074065,-4.712576,2.916965
9,-10.042459,-4.787047,2.896315
10,-10.049109,-4.817699,2.902294
11,-10.060171,-4.930796,2.841238
12,-10.16906,-4.878901,2.838326
13,-10.218087,-4.852939,2.853762
14,-10.245976,-4.894386,2.826279
15,-10.25663,-4.967501,2.763748
16,-10.267768,-5.04801,2.68341
17,-10.306479,-5.093906,2.621597
18,-10.370471,-5.125171,2.579492
19,-10.4381,-5.158207,2.516217
20,-10.43826,-5.157651,2.522248
21,-10.478485,-5.171318,2.501498
22,-10.559355,-5.1048,2.518437
23,-10.627423,-5.119488,2.479707
24,-10.675178,-5.182768,2.422534
25,-10.680011,-5.258384,2.406502
26,-10.667084,-5.291556,2.384328
27,-10.738019,-5.236112,2.431646
28,-10.779285,-5.224471,2.41259
29,-10.840111,-5.211218,2.409794
30,-10.908726,-5.200664,2.385672
31,-10.922359,-5.195442,2.424937
32,-10.956636,-5.217936,2.386474
33,-11.055204,-5.137781,2.399059
34,-11.084532,-5.134638,2.379558
35,-11.169415,-5.028677,2.43002
36,-11.223164,-4.971959,2.452089
37,-11.211728,-5.143226,2.362464
38,-11.239625,-5.123845,2.35412
39,-11.211545,-5.134757,2.379502
40,-11.266919,-5.075677,2.407471
41,-11.323481,-5.001071,2.456002
42,-11.338645,-4.99508,2.467945
43,-11.302528,-5.055551,2.474132
44,-11.35885,-5.054908,2.450592
45,-11.387633,-5.008883,2.471944
46,-11.383378,-5.01153,2.484141
47,-11.413169,-5.071384,2.441535
48,-11.444806,-5.085426,2.393655
49,-11.455647,-5.10048,2.392152
50,-11.45978,-5.131594,2.404746
51,-11.529353,-5.058798,2.403919
52,-11.497837,-5.086364,2.42077
53,-11.505352,-5.035739,2.505571
54,-11.440706,-5.08837,2.509449
55,-11.467617,-5.105536,2.503274
56,-11.513878,-5.075384,2.495674
57,-11.574488,-5.08205,2.475382
58,-11.584642,-5.097338,2.457697
59,-11.53608,-5.097702,2.502712
60,-11.551731,-5.10463,2.492043
61,-11.607624,-5.028536,2.542304
62,-11.688521,-4.993269,2.526375
63,-11.656478,-5.030633,2.528862
64,-11.665771,-5.046141,2.49085
65,-11.734326,-4.940116,2.561185
66,-11.741167,-4.914601,2.586386
67,-11.816906,-4.842264,2.564682
68,-11.850983,-4.81957,2.612768
69,-11.892213,-4.809295,2.661529
70,-11.92379,-4.783936,2.672487
71,-11.900279,-4.774864,2.717168
72,-11.950975,-4.690419,2.743177
73,-11.959767,-4.669434,2.761306
74,-11.934086,-4.733596,2.754435
75,-11.917495,-4.74244,2.794089
76,-11.913865,-4.76363,2.772644
77,-11.973902,-4.756964,2.719487
78,-11.963794,-4.743062,2.727248
79,-11.946063,-4.787569,2.721706
80,-11.898147,-4.833312,2.708995
81,-11.924528,-4.773319,2.739726
82,-11.876954,-4.810757,2.732346
83,-11.890254,-4.817262,2.701712
84,-11.90595,-4.804533,2.719705
85,-11.907966,-4.808056,2.722999
86,-11.946364,-4.800002,2.709267
87,-11.954151,-4.775025,2.721276
88,-11.972656,-4.784875,2.727589
89,-11.943915,-4.802795,2.748671
90,-11.913489,-4.852326,2.714381
91,-11.967567,-4.836041,2.698431
92,-11.945033,-4.880247,2.666235
93,-11.940461,-4.876083,2.670673
94,-11.977079,-4.888765,2.648339
95,-11.996653,-4.854855,2.664566
96,-12.034895,-4.879456,2.609337
97,-12.072536,-4.874437,2.565394
98,-12.075218,-4.871401,2.552341
99,-12.044137,-4.8946,2.559454
100,-12.035887,-4.891827,2.548842
101,-12.08187,-4.885983,2.549443
102,-12.162922,-4.832668,2.538059
103,-12.156697,-4.849941,2.555725
104,-12.15193,-4.859118,2.556551
105,-12.152775,-4.862268,2.556901
106,-12.16486,-4.872697,2.525615
107,-12.201069,-4.818094,2.562217
108,-12.192222,-4.817632,2.544795
109,-12.216558,-4.808202,2.558932
110,-12.220332,-4.883868,2.510782
111,-12.278692,-4.724283,2.548688
112,-12.273451,-4.746331,2.543041
113,-12.29527,-4.747505,2.535011
114,-12.301608,-4.746208,2.541758
115,-12.342406,-4.732644,2.550848
116,-12.347785,-4.735258,2.530626
117,-12.373825,-4.711684,2.546463
118,-12.323378,-4.788608,2.539858
119,-12.343627,-4.800878,2.520133
120,-12.351717,-4.836078,2.498056
121,-12.315898,-4.869772,2.494504
122,-12.357965,-4.843645,2.493793
123,-12.356092,-4.792567,2.508186
124,-12.396644,-4.730998,2.530653
125,-12.378926,-4.774517,2.530818
126,-12.417646,-4.750348,2.518218
127,-12.427556,-4.764453,2.494293
128,-12.428952,-4.774444,2.491935
129,-12.392764,-4.80991,2.479883
130,-12.372049,-4.890856,2.44424
131,-12.372476,-4.899023,2.433132
132,-12.35119,-4.902836,2.445757
133,-12.337985,-4.922816,2.422739
134,-12.294342,-5.00882,2.394595
135,-12.330828,-4.97891,2.396054
136,-12.316525,-4.996695,2.409118
137,-12.320635,-5.030957,2.379342
138,-12.337442,-5.003378,2.372562
139,-12.355024,-5.025661,2.353074
140,-12.379104,-5.015473,2.347254
141,-12.406295,-5.011556,2.354439
142,-12.394175,-5.012783,2.356676
143,-12.40495,-5.023389,2.347002
144,-12.4129,-5.039096,2.344592
145,-12.39609,-5.080384,2.331079
146,-12.443592,-5.03699,2.331957
147,-12.41863,-5.05583,2.341305
148,-12.407495,-5.066035,2.336228
149,-12.40557,-5.07672,2.355804
150,-12.375936,-5.110284,2.339041
151,-12.38602,-5.119615,2.349347
152,-12.381751,-5.105727,2.357461
153,-12.424212,-5.072824,2.369861
154,-12.448274,-5.068237,2.35705
155,-12.486917,-5.075594,2.353013
156,-12.482282,-5.072092,2.360837
157,-12.466221,-5.106624,2.369806
158,-12.452207,-5.129935,2.366375
159,-12.45477,-5.161817,2.320111
160,-12.42743,-5.177871,2.347448
161,-12.457934,-5.219143,2.306858
162,-12.475236,-5.200159,2.333437
163,-12.45977,-5.263421,2.292967
164,-12.448823,-5.280448,2.278878
165,-12.41081,-5.284273,2.345747
166,-12.391646,-5.317059,2.353159
167,-12.423423,-5.306102,2.347527
168,-12.470555,-5.252039,2.37935
169,-12.479443,-5.239851,2.394571
170,-12.519359,-5.221462,2.38075
171,-12.55648,-5.254148,2.344522
172,-12.58596,-5.248256,2.348283
173,-12.583315,-5.260679,2.330756
174,-12.553561,-5.314866,2.328073
175,-12.529105,-5.354916,2.315601
176,-12.523982,-5.352668,2.347604
177,-12.530357,-5.353,2.351993
178,-12.529519,-5.35825,2.367053
179,-12.521026,-5.352395,2.375635
180,-12.582706,-5.31746,2.396788
181,-12.571088,-5.328025,2.42328
182,-12.563442,-5.35189,2.416727
183,-12.554332,-5.366557,2.430445
184,-12.531688,-5.410302,2.438102
185,-12.566699,-5.409081,2.419206
186,-12.566583,-5.402725,2.438402
187,-12.558918,-5.388673,2.478233
188,-12.587783,-5.38895,2.471649
189,-12.591142,-5.39286,2.472754
190,-12.627283,-5.36601,2.514302
191,-12.648042,-5.360951,2.51644
192,-12.656593,-5.348032,2.531079
193,-12.655753,-5.306468,2.597004
194,-12.639393,-5.38178,2.568084
195,-12.638693,-5.404947,2.562694
196,-12.68737,-5.417561,2.54745
197,-12.727508,-5.351476,2.543426
198,-12.745508,-5.310763,2.564455
199,-12.729893,-5.342451,2.564875
200,-12.718162,-5.359787,2.574487
201,-12.707917,-5.327438,2.618973
202,-12.697251,-5.352546,2.621036
203,-12.685959,-5.381518,2.620007
204,-12.723114,-5.349167,2.623328
205,-12.748885,-5.362864,2.6057
206,-12.780828,-5.338841,2.612254
207,-12.787215,-5.370748,2.630634
208,-12.810695,-5.307071,2.639914
209,-12.834417,-5.278746,2.651551
210,-12.854914,-5.294714,2.644877
211,-12.845374,-5.354974,2.614395
212,-12.813937,-5.43798,2.586443
213,-12.836734,-5.415758,2.610152
214,-12.854342,-5.423938,2.587395
215,-12.859352,-5.426472,2.597013
216,-12.869135,-5.39019,2.647894
217,-12.864932,-5.388079,2.682278
218,-12.879133,-5.413431,2.649659
219,-12.882568,-5.439559,2.646246
220,-12.885082,-5.419659,2.65921
221,-12.860782,-5.42636,2.674756
222,-12.872334,-5.450538,2.663538
223,-12.838609,-5.485369,2.663055
224,-12.842278,-5.492098,2.68715
225,-12.89468,-5.471843,2.673608
226,-12.867297,-5.524653,2.671488
227,-12.87232,-5.503425,2.686171
228,-12.883603,-5.559563,2.64575
229,-12.901757,-5.549857,2.66367
230,-12.914164,-5.547596,2.673952
231,-12.93556,-5.546792,2.672855
232,-12.868066,-5.56223,2.71254
233,-12.895686,-5.605913,2.705594
234,-12.849869,-5.581285,2.736815
235,-12.852082,-5.603079,2.728418
236,-12.836318,-5.62807,2.720329
237,-12.843318,-5.570769,2.753485
238,-12.914248,-5.600338,2.729154
239,-12.834589,-5.603804,2.758463
240,-12.887072,-5.59801,2.774909
241,-12.870404,-5.595809,2.81885
242,-12.864553,-5.595311,2.831433
243,-12.85149,-5.626703,2.823428
244,-12.841584,-5.674766,2.790606
245,-12.858363,-5.609987,2.8518
246,-12.84075,-5.633403,2.844277
247,-12.884209,-5.588519,2.887355
248,-12.888461,-5.567216,2.917324
249,-12.892004,-5.567502,2.91232
250,-12.912093,-5.522721,2.982873
251,-12.898331,-5.578699,2.967435
252,-12.869055,-5.603524,2.970847
253,-12.860676,-5.656164,2.960693
254,-12.856866,-5.621113,2.970562
255,-12.855955,-5.611564,2.980303
256,-12.862672,-5.617578,2.975879
257,-12.861806,-5.658786,2.952841
258,-12.866096,-5.670413,2.942949
259,-12.848004,-5.684346,2.952806
260,-12.853717,-5.662834,2.956069
261,-12.814185,-5.750646,2.937449
262,-12.813089,-5.775282,2.916564
263,-12.809587,-5.747694,2.944987
264,-12.789489,-5.772099,2.965732
265,-12.793615,-5.761948,2.960646
266,-12.813121,-5.750048,2.958329
267,-12.807005,-5.753782,2.960316
268,-12.824772,-5.723162,2.984047
269,-12.845732,-5.706115,2.967137
270,-12.85762,-5.734124,2.958174
271,-12.861497,-5.74834,2.940877
272,-12.806258,-5.827803,2.937143
273,-12.810218,-5.800271,2.964439
274,-12.85684,-5.699981,2.982691
275,-12.857468,-5.682754,3.009698
276,-12.86307,-5.700614,2.984898
277,-12.871122,-5.699492,2.977463
278,-12.914476,-5.684958,2.966462
279,-12.897124,-5.707609,2.958724
280,-12.966828,-5.653668,2.957213
281,-12.958093,-5.660643,2.967999
282,-12.962797,-5.646775,2.95725
283,-12.975883,-5.619824,2.972742
284,-12.934851,-5.661861,2.964775
285,-12.939713,-5.691177,2.935263
286,-12.929201,-5.704215,2.939324
287,-12.942061,-5.685033,2.943733
288,-12.960598,-5.686394,2.917899
289,-12.965664,-5.680426,2.900636
290,-12.94585,-5.7013,2.912474
291,-12.981487,-5.651875,2.906373
292,-12.960745,-5.672141,2.921029
293,-12.938148,-5.709699,2.906736
294,-12.937802,-5.712317,2.89239
295,-12.897451,-5.726418,2.904621
296,-12.927502,-5.711628,2.883832
297,-12.969331,-5.70608,2.870574
298,-12.96518,-5.707612,2.863277
299,-12.950638,-5.720214,2.861199
300,-12.96753,-5.759218,2.811841
301,-12.959826,-5.74069,2.83293
302,-12.954488,-5.78223,2.789966
