X [],R.RA: EMG 1 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.ES: EMG 2 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.IL: EMG 3 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.Gmax: EMG 4 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.RF: EMG 5 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.BF: EMG 6 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.TA&IO: EMG 7 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.MF: EMG 8 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS []
0.000,0.0816266858,0.0448481194,0.0563578981,0.0062524199,0.0096168885,0.5587000564,0.4037209615,0.0672781503
0.001,0.0849770349,0.0497474938,0.0565396978,0.0064531857,0.0097965447,0.5969910260,0.4045620469,0.0680256853
0.002,0.0883273839,0.0607710862,0.0578122955,0.0067113132,0.0098176807,0.6283200011,0.4205426683,0.0728846628
0.003,0.0898502699,0.0663299917,0.0590848932,0.0068833981,0.0098810888,0.6439844887,0.4625969351,0.0753141516
0.004,0.0910685786,0.0688738976,0.0630844859,0.0070268022,0.0132100117,0.6526869818,0.4794186418,0.0756879191
0.005,0.0913731558,0.0705698349,0.0712654712,0.0070841639,0.0161690543,0.6561679790,0.5004457752,0.0756879191
0.006,0.0935051961,0.0706640537,0.0779920590,0.0071702064,0.0165917747,0.6561679790,0.5046512019,0.0756879191
0.007,0.0980738539,0.0707582724,0.0809008537,0.0072849297,0.0173315354,0.6561679790,0.5425000421,0.0756879191
0.008,0.1005104714,0.0712293661,0.0810826534,0.0073136105,0.0174372155,0.6579084776,0.5593217488,0.0758748028
0.009,0.1011196257,0.0731137409,0.0810826534,0.0073136105,0.0188110567,0.6613894749,0.5635271755,0.0762485703
0.010,0.1011196257,0.0742443657,0.0854458455,0.0073709721,0.0216644192,0.6631299735,0.5761434555,0.0766223378
0.011,0.0995967398,0.0751865531,0.1070800064,0.0073422913,0.0237780211,0.6666109707,0.5761434555,0.0768092216
0.012,0.0813221086,0.0760345217,0.1223511788,0.0059369309,0.0237780211,0.6579084776,0.5425000421,0.0732584303
0.013,0.0743168334,0.0761287405,0.1241691755,0.0053059527,0.0245177817,0.6631299735,0.5340891887,0.0710158253
0.014,0.0712710615,0.0755634281,0.1239873758,0.0052772719,0.0250461822,0.6509464831,0.5340891887,0.0706420578
0.015,0.0712710615,0.0702871787,0.1218057798,0.0053059527,0.0257859429,0.6439844887,0.5256783353,0.0616716378
0.016,0.0712710615,0.0676490540,0.1198059834,0.0053633144,0.0258916230,0.6492059845,0.4836240685,0.0474684727
0.017,0.0706619071,0.0669895229,0.1223511788,0.0052199102,0.0254689026,0.6161365108,0.4541860817,0.0422357277
0.018,0.0712710615,0.0682143665,0.1201695827,0.0049904636,0.0252575424,0.5151875909,0.4499806550,0.0411144252
0.019,0.0700527528,0.0660473355,0.1207149817,0.0047323362,0.0255745827,0.5047445992,0.4373643750,0.0398062389
