X [],ES: EMG 1->Filter->Subset->RMS [],GMax: EMG 2->Filter->Subset->RMS [],BF: EMG 3->Filter->Subset->RMS [],ST: EMG 4->Filter->Subset->RMS [],URA: EMG 5->Filter->Subset->RMS [],LRA: EMG 6->Filter->Subset->RMS [],EO: EMG 7->Filter->Subset->RMS [],IL: EMG 8->Filter->Subset->RMS [],RF: EMG 9->Filter->Subset->RMS []
0.000000000000 ,0.2531218045,0.0721557522,0.0124804596,0.0804804671,0.0611896492,0.0346589189,0.1645796748,0.0780117647,0.0370353245
0.010323500000 ,0.2735661654,0.1077539823,0.0183189256,0.0902376858,0.0700874374,0.0444506306,0.1692544715,0.0996287582,0.0479112066
0.020647100000 ,0.1945691729,0.1035221239,0.0361144844,0.0477503185,0.0586250216,0.0476256757,0.0616200813,0.0895039216,0.0430402770
0.030970600000 ,0.3093894737,0.0738747788,0.0486425823,0.0376851380,0.0596227752,0.0555621622,0.0931186992,0.0775424837,0.0429992988
0.041294100000 ,0.5468706767,0.1212840708,0.0514065821,0.0575989384,0.0666513738,0.0493270270,0.1199121951,0.0820228758,0.0356002104
0.051617600000 ,0.5236548872,0.1423172566,0.0430670533,0.0712149682,0.0863995162,0.0371431081,0.1488967480,0.0894986928,0.0298483587
0.061941200000 ,0.2695360902,0.1103907080,0.0600756543,0.1390148620,0.0700216001,0.0359447297,0.1505121951,0.0940333333,0.0307781479
0.072264700000 ,0.3165030075,0.0931898230,0.0937480514,0.1770477707,0.0581925868,0.0402117117,0.1405252033,0.1241464052,0.0366194066
0.082588200000 ,0.3237571429,0.0940721239,0.0770979909,0.1340424628,0.0643343701,0.0428990090,0.1471569106,0.1210385621,0.0389102424
0.092911800000 ,0.3136902256,0.0818929204,0.0321118899,0.0888665605,0.0760042336,0.0426138739,0.1189772358,0.1095313725,0.0430076259
0.103235000000 ,0.2393278195,0.0877862832,0.0465903219,0.0828777070,0.0702141006,0.0579806306,0.0772000000,0.1164562092,0.0487761318
0.113559000000 ,0.2794120301,0.0917070796,0.0556602313,0.1013943737,0.0667239502,0.0561630631,0.0861455285,0.1012575163,0.0400699040
0.123882000000 ,0.2487646617,0.0604283186,0.0628204681,0.1130106157,0.0634390876,0.0480130631,0.1332926829,0.0836189542,0.0342200990
0.134206000000 ,0.1776030075,0.0599199115,0.0760383940,0.1160806794,0.0627202350,0.0491549550,0.1327853659,0.1516124183,0.0323357584
0.144529000000 ,0.2232511278,0.0832243363,0.0689138042,0.1130711253,0.0818135476,0.0413331081,0.0992634146,0.1702954248,0.0377663584
0.154853000000 ,0.2571774436,0.0792681416,0.0519263515,0.1330286624,0.0887817522,0.0305085586,0.0823495935,0.1192379085,0.0409041504
0.165176000000 ,0.2762022556,0.0563946903,0.0589685282,0.1433917197,0.0913314325,0.0320531081,0.0655682114,0.0959980392,0.0412100627
0.175500000000 ,0.2839338346,0.0542960177,0.1065968626,0.0963826964,0.0977337135,0.0379076577,0.0907504065,0.1050777778,0.0398139545
0.185824000000 ,0.2564142857,0.0778336283,0.1328028081,0.0695804671,0.0803119060,0.0345816667,0.0941040650,0.1214019608,0.0307181049
0.196147000000 ,0.2485285714,0.0827964602,0.1152377007,0.0582159236,0.0654117850,0.0377440541,0.0861796748,0.1212725490,0.0366952272
0.206471000000 ,0.3359578947,0.0743672566,0.1025626547,0.0522928875,0.1012795922,0.0412198198,0.0949349593,0.1095411765,0.0361362142
0.216794000000 ,0.3242428571,0.0823314159,0.0868313475,0.0912720807,0.1399135994,0.0504522523,0.0980642276,0.1193882353,0.0323971162
