Subject,motion file,Force Plate file,EMG file,同步時間點_MOTION,P0,P1,P2,S啟動瞬間,C下蹲加速減速轉換瞬間,"D下蹲結束瞬間
",T0正衝量結束瞬間,T起跳瞬間,"O展體瞬間
",L著地瞬間,肌肉比值 file,"分析
第幾筆",20Hz.data,資料匯出,,無MVIC標準化檔案
NSF1,NSF11_BTS_5_ok_OK_20Hz.csv,NSF11_BTS_5.anc.xlsx,NSF_1_BTS_5.9_BP30450_RMS0.1_0.09.csv,966,16.645,16.780001,17.224001,17.440001,17.809999,4469,18.134001,18.164,4645,18.775999,NSF1_muscle_ratio.csv,5,v NSF11_BTS5怪怪的 但非最優先使用的資料,v,R,
NSF2,NSF2_BTS_4_ok_20Hz.csv,NSF2_BTS_4.xlsx,NSF_2_BTS%_4.16_BP30450_RMS0.1_0.09.csv,600,10.667,12.029,12.237,12.384,12.651,3174,12.992,13.025,3363,13.61,NSF2_muscle_ratio.csv,4,v,v,R,
NSF3,NSF3_BTS_1_ok_20Hz.csv,NSF3_BTS_1.anc.xlsx,NSF_3_BTS%_1.8_BP30450_RMS0.1_0.09.csv,259,13.673,17.613001,17.816999,17.906,18.605,4647,18.872999,18.909,4801,19.464001,NSF3_muscle_ratio.csv,1,v,v,R,
NSF4,NSF4_BTS_3_ok_20Hz.csv,NSF4_NSF_3.anc.xlsx,NSF_4_BTS%_3.9_BP30450_RMS0.1_0.09.csv,265,x,x,7.469,7.641,7.936,2009,8.333,8.361,2182,8.973,NSF4_muscle_ratio.csv,3,v,v,R,
NSF5,NSF5_BTS_3_ok_20Hz.csv,NSF5_NSF_3.anc.xlsx,NSF_5_BTS%_2.6_BP30450_RMS0.1_0.09.csv,663,17.695999,17.884001,18.114,18.271,18.587999,4669,18.933001,18.959999,4840,19.556999,NSF5_muscle_ratio.csv,3,v,v,R,
NSF6,NSF6_BTS_2_ok_20Hz.csv,NSF6_NSF_2.anc.xlsx,NSF_6_BTS%_3.8_BP30450_RMS0.1_0.09.csv,619,12.419,12.62,12.986,13.176,13.528,3408,13.906,13.939,3596,14.56,NSF6_muscle_ratio.csv,2,v,v,R,
NSF9,NSF9_BTS_3_ok_20Hz.csv,NSF9_BTS_3.anc.xlsx,NSF_9_BTS%_4.8_BP30450_RMS0.1_0.09.csv,1728,16.624001,16.889,16.993999,17.086,17.712,4445,18.066,18.089001,4623,18.754,NSF9_muscle_ratio.csv,3,V NSF9_3_ok為亦辰重新補點版,v,R,
NSF10,NSF10_BTS_3_ok_20Hz.csv,NSF10_BTS_3.anc.xlsx,NSF_10_BTS%_3.5_BP30450_RMS0.1_0.09.csv,1017,16.843,17.853001,18.070999,18.252001,18.695999,4702,19.107,19.129,4890,19.798,NSF10_muscle_ratio.csv,3,V hip已重新補點處理,v,R,
SF1,SF1_BTS_5_ok_20Hz.csv,SF1_BTS_5.anc.xlsx,SF_1_BTS%_3.2_BP30450_RMS0.1_0.09.csv,627,x,x,15.042,15.214,15.497,3895,15.841,15.863,4066,16.476,SF1_muscle_ratio.csv,5,"V SF1_5_ok膝關節內外側有重補好濾波好了
knee angle末期角度怪怪的，需在確認",v,,
SF2,SF2_BTS_4_ok_20Hz.csv,SF2_BTS_4.anc.xlsx,SF_2_BTS%_4.8_BP30450_RMS0.1_0.09.csv,624,12.051,12.552,12.826,13.018,13.305,3350,13.678,13.703,3527,14.3,SF2_muscle_ratio.csv,4,v,v,B,
SF3,SF3_BTS_5_ok_20Hz.csv,SF3_BTS_5.anc.xlsx,SF_3_BTS%_6.12_BP30450_RMS0.1_0.09.csv,343,10.53,14.873,15.091,15.204,15.394,3856,15.674,15.696,4009,16.320999,SF3_muscle_ratio.csv,5,v,v,R,
SF5,SF5_BTS_4_ok_20Hz.csv,SF5_BTS_4.anc.xlsx,SF_5_BTS%_4.12_BP30450_RMS0.1_0.09.csv,721,11.255,11.434,11.617,11.805,12.116,3041,12.403,12.426,3205,13.047,SF5_muscle_ratio.csv,4,v,v,R,
SF6,SF6_BTS_4_ok_20Hz.csv,SF6_BTS_4.anc.xlsx,SF_6_BTS%_2.12_BP30450_RMS0.1_0.09.csv,923,14.215,14.678,14.775,15.061,15.329,3848,15.649,15.677,4025,16.318001,SF6_muscle_ratio.csv,4,v,v,B,
SF7,SF7_BTS_3_ok_20Hz.csv,SF7_BTS_3.anc.xlsx,SF_7_BTS%_3.12_BP30450_RMS0.1_0.09.csv,718,x,12.456,12.627,12.756,12.982,3268,13.321,13.349,3428,13.921,SF7_muscle_ratio.csv,3,v,v,R,
SF8,SF8_BTS_4_ok_20Hz.csv,SF8_BTS_4.anc.xlsx,SF_8_BTS%_6.10_BP30450_RMS0.1_0.09.csv,1238,14.798,15.074,15.397,15.581,15.884,3990,16.237,16.26,4180,16.947001,SF8_muscle_ratio.csv,4,v,v,R,
NSF7&SF9,NSF7&SF9_BTS_4_ok_20Hz.csv,NSF7_BTS_4.anc.xlsx,SF_9_BTS%_5.13_BP30450_RMS0.1_0.09.csv,847,11.264,11.477,11.839,11.963,12.361,3089,12.598,12.622,3265,13.23,NSF7&SF9_muscle_ratio.csv,4,v,v,R,
