Subject,motion file,Force Plate file,EMG file,同步時間點_MOTION,P0,P1,P2,S啟動瞬間,C下蹲加速減速轉換瞬間,"D下蹲結束瞬間
",T0正衝量結束瞬間,T起跳瞬間,"O展體瞬間
",L著地瞬間,,"分析
第幾筆"
NSF1,,,,741,18.083,19.021,19.298,19.517,19.875,,20.195999,20.225,,,,1
NSF1,,,,1744,,,,,,,,,,,,2
NSF1,,,,966,,,,,,,,,,,,5
NSF2,,,,819,11.048,12.228,12.397,12.526,12.802,,13.137,13.167,,,,3
NSF2,NSF2_BTS_4_ok_20250419.data.csv,NSF2_BTS_4.anc,NSF_2_BTS%_4.16_RMS0.020_0.019_Correction_RAES.csv,600,10.667,12.029,12.237,12.384,12.651,3173,12.992,13.025,3363,,,4
NSF3,,,,259,13.673,17.613001,17.816999,17.906,18.605,,18.872999,18.909,,,,1
NSF4,,,,265,x,x,7.469,7.641,7.936,,8.333,8.361,,,,3
NSF5,,,,663,17.695999,17.884001,18.114,18.271,18.587999,,18.933001,18.959999,,,,3
NSF5,,,,793,,,,,,,,,,,,4
NSF6,,,,619,12.419,12.62,12.986,13.176,13.528,,13.906,13.939,,,,2
NSF9,,,,1367,,,,,,,,,,,,2
NSF9,,,,1728,16.624001,16.889,16.993999,17.086,17.712,,18.066,18.089001,,,,3
NSF10,,,,1017,16.843,17.853001,18.070999,18.252001,18.695999,,19.107,19.129,,,,3
NSF10,,,,1149,,,,,,,,,,,,6
SF1,,,,,,,,,,,,,,,,1
SF1,,,,350,,,,,,,,,,,,3
SF1,,,,373,,,,,,,,,,,,4
SF1,SF1_BTS_5_ok.csv,SF1_BTS_5.anc,SF1_Back_Tuck_Somersault_Rep_3.2.csv,627,x,x,15.042,15.214,15.497,3896,15.841,15.863,4065,,,5
SF2,,,,606,,,,,,,,,,,,1
SF2,SF2_BTS_4_ok.csv,SF2_BTS_4.anc,SF2_Back_Tuck_Somersault_Rep_4.8.csv,624,12.051,12.552,12.826,13.018,13.305,3351,13.678,13.703,3527,,,4
SF2,,,,460,,,,,,,,,,,,5
SF3,,,,341,,,,,,,,,,,,4
SF3,,,,343,10.53,14.873,15.091,15.204,15.394,,15.674,15.696,,,,5
SF5,,,,721,11.255,11.434,11.617,11.805,12.116,,12.403,12.426,,,,4
SF6,,,,1018,,,,,,,,,,,,1
SF6,,,,923,14.215,14.678,14.775,15.061,15.329,,15.649,15.677,,,,4
SF7,,,,718,x,12.456,12.627,12.756,12.982,,13.321,13.349,,,,3
SF7,,,,588,,,,,,,,,,,,5
SF8,,,,1438,,,,,,,,,,,,3
SF8,,,,1238,14.798,15.074,15.397,15.581,15.884,,16.237,16.26,,,,4
NSF7&SF9,,,,847,11.264,11.964,12.213,12.303,12.361,,12.598,12.622,,,,4
NSF7&SF9,,,,576,,,,,,,,,,,,5
