Time (s),RA/ES,IL/GMax,RF/BF,TAIO/MF
0.0000,1.459236,3.627081,0.516420,15.167020
0.0100,1.698902,4.485817,0.559280,16.923728
0.0200,1.783239,6.916104,0.686466,38.264270
0.0300,1.901431,6.763892,0.728537,43.500004
0.0400,1.985318,6.963304,0.764654,48.739645
0.0500,1.972098,6.562623,0.785548,49.795088
0.0600,2.942676,8.250780,1.146567,54.426864
0.0700,3.142641,9.307984,1.432409,58.944796
0.0800,3.822047,10.328864,1.502583,60.204836
0.0900,4.180922,9.349150,1.562480,61.507971
0.1000,4.213523,8.907048,1.576887,64.981998
0.1100,4.427352,8.482774,1.566271,84.690789
0.1200,4.478435,5.953190,1.494151,69.505491
0.1300,4.375782,5.987110,1.487221,52.294861
0.1400,4.746239,5.846230,1.475909,29.958388
0.1500,5.717916,6.451148,1.527925,16.173810
0.1600,6.747555,6.541258,1.588238,8.465672
0.1700,6.953977,6.374151,1.515932,7.508143
0.1800,7.213101,5.394665,1.650957,6.679498
0.1900,6.685070,5.811881,1.700795,6.278045
0.2000,6.649847,9.272677,1.754142,6.753715
0.2100,6.261414,9.472915,1.794540,7.093157
0.2200,6.203640,9.017492,1.724372,7.049236
0.2300,6.074191,9.025462,1.735091,6.939435
0.2400,5.916065,8.763436,1.747225,6.729026
0.2500,5.233023,8.799754,1.699603,6.691189
0.2600,4.219038,9.172389,1.722650,8.221913
0.2700,4.054522,10.023722,1.721299,15.121853
0.2800,3.341180,10.516322,1.777049,23.388307
0.2900,3.570187,10.339324,1.743008,27.983910
0.3000,3.549959,7.453828,1.761597,32.988882
0.3100,3.882784,7.092738,1.678027,40.285359
0.3200,3.597296,7.810633,1.624491,42.339341
0.3300,4.223460,8.608069,1.612444,44.769275
0.3400,4.437280,8.881571,1.633739,46.031257
0.3500,4.548176,8.729337,1.677090,45.428630
0.3600,4.242914,7.928144,1.621993,47.619769
0.3700,4.217110,7.485719,1.688197,36.381507
0.3800,4.424798,8.244955,1.664419,32.610953
0.3900,4.318589,8.122208,1.700430,40.769816
0.4000,4.277038,8.461683,1.713583,42.601953
0.4100,4.128648,8.674338,1.651497,47.217520
0.4200,4.717526,8.007174,1.676224,46.051506
0.4300,4.930645,8.029255,1.577131,44.045968
0.4400,4.709798,7.759751,1.556649,41.478262
0.4500,4.789788,9.488189,1.623266,45.875246
0.4600,5.586940,10.343182,1.655938,47.877427
0.4700,5.740158,9.891706,1.506235,48.795858
0.4800,5.531703,8.354185,1.430002,50.994849
0.4900,5.523283,8.819017,1.375929,37.825662
0.5000,5.931955,8.452281,1.392524,38.148075
0.5100,6.413751,9.661854,1.486017,33.751199
0.5200,6.336507,11.075990,1.522484,40.758202
0.5300,5.371375,10.268787,1.688197,40.758202
0.5400,5.246788,10.184587,1.644347,42.230883
0.5500,5.280261,8.995308,1.709980,39.347381
0.5600,5.063227,8.910208,1.721516,42.629098
0.5700,4.788955,9.227445,1.847891,46.463599
0.5800,4.658748,8.300893,1.882111,43.911781
0.5900,4.598879,7.895007,1.880810,43.867643
0.6000,4.039629,7.796250,1.801498,42.030231
0.6100,4.453831,7.122096,1.864740,45.516295
0.6200,4.453208,6.523863,1.861345,41.628377
0.6300,4.697653,6.959180,1.784972,44.063796
0.6400,4.754952,6.865032,1.764438,46.139391
0.6500,4.739313,6.653165,1.665687,45.833932
0.6600,4.791528,6.091555,1.632664,40.751712
0.6700,5.149097,6.649881,1.577131,32.676835
0.6800,5.321560,8.704644,1.533721,32.658011
0.6900,6.031968,8.609761,1.429271,36.022143
0.7000,6.250182,8.953486,1.551883,33.388909
0.7100,6.174297,8.558424,1.354483,22.603580
0.7200,7.489778,8.203596,1.395446,14.342284
0.7300,8.462141,8.894232,1.356092,11.556097
0.7400,8.573439,8.870090,1.359936,8.832560
0.7500,8.802325,9.051445,1.323181,9.004442
0.7600,9.187103,10.196072,1.288838,9.434982
0.7700,8.565108,9.060541,1.330372,9.721387
0.7800,8.276879,8.231166,1.365318,10.160750
0.7900,8.015722,9.150657,1.439932,11.042040
0.8000,8.583671,9.562744,1.332787,10.508884
0.8100,8.647209,9.830984,1.391483,10.974402
