Phase,Time (s),RA/ES,IL/GMax,RF/BF,TAIO/MF
P0,12.7900,1.611798,2.405727,0.161045,2.177657
mid_P0_P1,12.8500,1.351507,2.157528,0.120830,1.525168
P1,12.9200,2.660012,2.743951,0.127644,2.955621
mid_P1_P2,13.1400,2.442705,2.378531,0.083417,1.442697
P2,13.3600,7.021160,10.290911,1.697372,8.947799
mid_P2_S,13.4700,5.632723,9.306312,1.394881,33.109952
S,13.5800,4.475771,5.536467,1.285572,4.366240
mid_S_C,13.7700,2.893003,2.917225,0.516917,4.646731
mid_S_D,13.8000,1.448044,2.470083,0.628066,3.664013
C,13.9500,0.540603,0.858907,1.681550,0.978553
mid_C_D,13.9800,0.647830,0.654805,1.709980,1.180124
D,14.0100,0.737675,0.518074,0.358333,1.897365
mid_D_T0,14.1400,3.003350,0.780245,0.275114,3.841578
mid_D_T,14.1600,3.548651,0.813578,0.181883,3.665896
T0,14.2700,14.083844,2.433287,0.527989,10.128579
mid_T0_T,14.2900,15.492170,2.684629,2.324215,11.367831
T,14.3000,14.677003,2.702989,6.764976,14.328517
mid_T_O,14.5100,20.890235,7.479823,9.416236,9.351297
O,14.7200,4.154146,5.125343,17.291227,9.656231
mid_O_L,14.8200,8.177187,5.116207,12.110976,13.776078
L,14.9200,16.552169,1.972200,3.078476,2.567346
