Time (s),Gait Cycle (%),RA/ES,IL/GMax,RF/BF,TAIO/MF,RA/GMax,RA/MF,IL/ES,IL/BF,IL/MF,RF/GMax,TAIO/ES,TAIO/GMax
9.8500,0.00,0.026622,0.024729,0.014813,0.086140,0.033606,0.023170,0.049924,0.265250,0.097051,0.021907,0.046179,0.023620
9.8600,0.47,0.026982,0.024735,0.015183,0.083871,0.034043,0.023527,0.049603,0.265496,0.094466,0.022608,0.045851,0.023611
9.8700,0.93,0.028599,0.024609,0.015369,0.083455,0.036338,0.024824,0.049377,0.265496,0.093860,0.023003,0.045683,0.023504
9.8800,1.40,0.029555,0.024488,0.015742,0.082621,0.037554,0.025517,0.048491,0.265742,0.092907,0.023763,0.044891,0.023388
9.8900,1.86,0.029594,0.024550,0.015761,0.082039,0.037596,0.025546,0.048673,0.265977,0.093464,0.023784,0.044665,0.023321
9.9000,2.33,0.029692,0.024408,0.015717,0.081044,0.037721,0.025606,0.048264,0.255220,0.092699,0.023670,0.044172,0.023147
9.9100,2.79,0.029712,0.024863,0.015981,0.080226,0.037431,0.025647,0.048170,0.237873,0.091937,0.023878,0.044018,0.023535
9.9200,3.26,0.029876,0.025584,0.016088,0.079669,0.037219,0.025799,0.048211,0.235860,0.091643,0.023822,0.043937,0.024147
9.9300,3.72,0.030061,0.025785,0.016279,0.079342,0.037327,0.025951,0.048117,0.236090,0.091291,0.024116,0.043839,0.024322
9.9400,4.19,0.030560,0.025957,0.016661,0.078616,0.037660,0.026258,0.047142,0.235403,0.090304,0.024770,0.043033,0.024487
9.9500,4.65,0.031129,0.025692,0.016866,0.077732,0.038498,0.026712,0.046781,0.232720,0.089233,0.025221,0.042716,0.024246
9.9600,5.12,0.032241,0.025736,0.017265,0.075726,0.039834,0.027662,0.046271,0.229619,0.086657,0.025931,0.042304,0.024295
9.9700,5.58,0.032312,0.026080,0.017265,0.074763,0.039624,0.027737,0.045988,0.230275,0.085613,0.025815,0.042014,0.024585
9.9800,6.05,0.031963,0.025770,0.017307,0.073803,0.039143,0.027405,0.045236,0.223430,0.084520,0.025931,0.041339,0.024295
9.9900,6.51,0.033007,0.025655,0.017351,0.073484,0.040384,0.028115,0.044486,0.216651,0.084224,0.025978,0.040665,0.024179
10.0000,6.98,0.033447,0.025554,0.017412,0.072369,0.040282,0.028071,0.042144,0.209773,0.083499,0.026050,0.038467,0.024005
10.0100,7.45,0.039492,0.025237,0.017612,0.071734,0.042744,0.032381,0.040718,0.195878,0.082751,0.026358,0.037234,0.023715
10.0200,7.91,0.048001,0.025284,0.017685,0.067954,0.040063,0.038927,0.040082,0.189402,0.078736,0.026383,0.036479,0.023658
10.0300,8.38,0.053349,0.025511,0.017704,0.063148,0.039399,0.043035,0.038269,0.187829,0.072835,0.026309,0.034883,0.023831
10.0400,8.84,0.057629,0.028700,0.017847,0.061865,0.044612,0.045888,0.037173,0.197659,0.071728,0.025640,0.033797,0.026534
10.0500,9.31,0.056986,0.031416,0.017866,0.059820,0.050122,0.045872,0.037127,0.196095,0.069188,0.024899,0.033737,0.028867
10.0600,9.77,0.059026,0.033582,0.018267,0.059493,0.053611,0.047258,0.036823,0.199350,0.069102,0.025096,0.033373,0.030630
10.0700,10.24,0.054898,0.034238,0.018569,0.054185,0.054762,0.049115,0.034305,0.199575,0.062398,0.025449,0.031232,0.031175
10.0800,10.70,0.056005,0.034570,0.018529,0.056597,0.055340,0.048398,0.034900,0.205229,0.065588,0.025384,0.031695,0.031417
10.0900,11.17,0.055931,0.036110,0.018952,0.060978,0.058846,0.047973,0.034692,0.198078,0.070067,0.025633,0.031820,0.033036
10.1000,11.63,0.054610,0.036160,0.019312,0.062949,0.060037,0.047519,0.033582,0.175350,0.070822,0.025838,0.031295,0.033563
